City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsarevo,42.1667,27.85,18.87,81,1,4.42,BG,1719622885
1,muzaffarabad,34.37,73.4711,25.77,68,4,1.57,PK,1719622886
2,waitangi,-43.9535,-176.5597,11.01,88,19,1.34,NZ,1719622889
3,nelson bay,-32.7167,152.15,15.62,69,69,0.89,AU,1719622890
4,cockburn town,21.4612,-71.1419,27.67,88,99,7.47,TC,1719622664
5,port-aux-francais,-49.35,70.2167,1.88,75,31,18.65,TF,1719622893
6,saudarkrokur,65.7461,-19.6394,4.53,93,100,3.94,IS,1719622894
7,grytviken,-54.2811,-36.5092,1.4,97,100,1.22,GS,1719622897
8,hawaiian paradise park,19.5933,-154.9731,27.73,76,100,4.12,US,1719622898
9,invercargill,-46.4,168.35,11.68,78,5,2.24,NZ,1719622899
10,taoudenni,22.6783,-3.9836,38.24,9,3,7.36,ML,1719622900
11,puerto carreno,6.189,-67.4859,26.0,83,100,0.5,CO,1719622902
12,hotan,37.0997,79.9269,30.44,17,2,1.68,CN,1719622903
13,kodiak,57.79,-152.4072,10.66,87,100,2.57,US,1719622904
14,ribeira grande,38.5167,-28.7,20.43,84,5,1.79,PT,1719622906
15,songjianghe,42.1859,127.479,25.83,35,3,4.08,CN,1719622864
16,albany,42.6001,-73.9662,19.27,58,100,1.86,US,1719622632
17,ushuaia,-54.8,-68.3,-1.19,80,100,1.54,AR,1719622829
18,klyuchi,52.2667,79.1667,25.17,64,35,2.25,RU,1719622911
19,ancud,-41.8697,-73.8203,6.7,80,100,2.15,CL,1719622912
20,gopalpur,19.2667,84.9167,29.28,76,100,3.4,IN,1719622914
21,enewetak,11.3474,162.3373,28.4,75,86,6.36,MH,1719622915
22,papatowai,-46.5619,169.4708,10.4,77,5,3.91,NZ,1719622916
23,amga,60.8953,131.9608,15.45,54,100,2.51,RU,1719622918
24,wailua homesteads,22.0669,-159.378,27.14,72,12,2.24,US,1719622919
25,hermanus,-34.4187,19.2345,13.78,54,13,3.84,ZA,1719622920
26,uturoa,-16.7333,-151.4333,26.34,76,9,11.72,PF,1719622921
27,bethel,41.3712,-73.414,18.97,72,100,1.96,US,1719622923
28,olonkinbyen,70.9221,-8.7187,1.76,92,100,6.25,SJ,1719622924
29,porto de moz,-1.7483,-52.2383,25.84,79,97,1.52,BR,1719622925
30,mooirivier,-29.2082,29.9946,6.34,70,0,1.11,ZA,1719622926
31,ciro marina,39.3732,17.126,25.03,61,0,4.48,IT,1719622928
32,wainwright,52.839,-110.8572,14.93,64,37,4.21,CA,1719622929
33,shalya,57.2471,58.7298,9.41,79,94,6.67,RU,1719622930
34,zelenogorsk,56.1147,94.5861,25.74,55,6,1.38,RU,1719622932
35,margaret river,-33.95,115.0667,12.21,66,24,3.13,AU,1719622933
36,fort bragg,35.139,-79.006,28.58,79,40,3.09,US,1719622934
37,puerto natales,-51.7236,-72.4875,-0.32,92,86,1.23,CL,1719622935
38,blackmans bay,-43.0167,147.3167,14.29,55,97,2.68,AU,1719622937
39,edinburgh of the seven seas,-37.0676,-12.3116,14.63,93,74,8.43,SH,1719622938
40,aasiaat,68.7098,-52.8699,2.6,90,100,6.19,GL,1719622939
41,alofi,-19.0595,-169.9187,27.94,83,75,4.12,NU,1719622941
42,motilla del palancar,39.5709,-1.9068,14.22,92,100,0.45,ES,1719622942
43,longyearbyen,78.2186,15.6401,4.91,65,40,2.57,SJ,1719622943
44,dhidhdhoo,6.8833,73.1,28.23,77,49,5.22,MV,1719622945
45,adamstown,-25.066,-130.1015,19.15,74,100,12.56,PN,1719622946
46,sari,36.5633,53.0601,20.77,94,75,2.06,IR,1719622947
47,al jawf,29.5,38.75,25.56,29,0,3.31,SA,1719622949
48,robertsport,6.7533,-11.3686,25.14,86,100,2.1,LR,1719622951
49,pecangaan,-6.6978,110.7107,27.92,73,8,4.08,ID,1719622953
50,ilulissat,69.2167,-51.1,6.01,75,75,5.14,GL,1719622954
51,santa cruz,-17.8,-63.1667,22.7,88,20,3.09,BO,1719622955
52,hadibu,12.65,54.0333,26.82,79,60,10.48,YE,1719622957
53,nuuk,64.1835,-51.7216,5.49,93,100,2.68,GL,1719622958
54,jamestown,42.097,-79.2353,20.31,81,100,2.54,US,1719622959
55,atafu village,-8.5421,-172.5159,28.95,75,14,7.14,TK,1719622961
56,illela,13.7292,5.2975,27.63,63,100,5.68,NG,1719622962
57,montrose,38.4166,-108.2673,22.52,32,40,4.06,US,1719622963
58,whitehorse,60.7161,-135.0538,23.43,36,75,4.12,CA,1719622790
59,reggane,26.7158,0.1714,38.0,6,0,4.01,DZ,1719622966
60,alotau,-10.3069,150.4462,27.85,74,100,3.27,PG,1719622967
61,vegreville,53.5001,-112.0518,20.39,34,1,2.57,CA,1719622969
62,salalah,17.0151,54.0924,27.43,85,100,0.8,OM,1719622970
63,cruz,-2.9178,-40.1717,23.95,87,63,4.65,BR,1719622973
64,port elizabeth,-33.918,25.5701,18.16,56,0,2.06,ZA,1719622865
65,tazacorte,28.629,-17.9293,20.64,81,0,5.14,ES,1719622975
66,crane,31.3974,-102.3501,36.12,24,4,9.87,US,1719622976
67,rio grande,-32.035,-52.0986,11.06,70,1,8.05,BR,1719622884
68,ruteng,-8.6136,120.4721,22.05,67,100,1.0,ID,1719622979
69,st. john's,47.5649,-52.7093,16.27,98,100,8.75,CA,1719622712
70,port lincoln,-34.7333,135.8667,13.05,64,100,8.98,AU,1719622984
71,beihai,21.4833,109.1,29.77,78,74,7.37,CN,1719622985
72,katsuura,35.1333,140.3,21.85,98,100,1.83,JP,1719622987
73,kalispell,48.1958,-114.3129,22.17,40,20,2.57,US,1719622988
74,keflavik,64.0049,-22.5624,9.95,93,20,6.69,IS,1719622989
75,tughyl,47.7252,84.2063,24.4,47,0,2.9,KZ,1719622990
76,stanley,54.868,-1.6985,11.82,83,99,3.37,GB,1719622992
77,sinabang,2.4803,96.3801,26.09,86,100,0.44,ID,1719622993
78,yellowknife,62.456,-114.3525,21.29,40,40,6.17,CA,1719622887
79,hammerfest,70.6634,23.6821,11.25,93,40,4.63,NO,1719622995
80,farafangana,-22.8167,47.8333,17.39,68,44,0.88,MG,1719622997
81,sanya,18.2431,109.505,30.09,84,75,3.0,CN,1719622998
82,iqaluit,63.7506,-68.5145,7.85,61,75,3.09,CA,1719622870
83,massawa,15.6097,39.45,34.19,48,42,3.09,ER,1719623000
84,susuman,62.7833,148.1667,4.91,93,100,1.24,RU,1719623002
85,yoko,5.5333,12.3167,18.0,95,92,1.16,CM,1719623003
86,oleiros,43.3333,-8.3167,16.62,91,100,5.81,ES,1719623004
87,port mathurin,-19.6833,63.4167,22.77,63,61,8.14,MU,1719623005
88,kuta,-8.7233,115.1723,27.97,89,20,3.6,ID,1719623007
89,tiksi,71.6872,128.8694,14.56,39,8,2.61,RU,1719623008
